"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[233,11,1]",0.965,0.012,0.939,0.958,0.966,0.974,0.985,1.11,26
"PS1[235,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[236,11,1]",0.795,0.3,0.01,0.889,0.905,0.921,0.948,1.284,16
"PS1[237,11,1]",0.821,0.037,0.741,0.795,0.825,0.847,0.883,1.031,75
"PS1[239,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[242,11,1]",0.115,0.273,0.01,0.01,0.01,0.01,0.852,1.607,8
"PS1[243,11,1]",0.014,0.059,0.01,0.01,0.01,0.01,0.01,1.261,250
"PS1[244,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[245,11,1]",0.304,0.413,0.01,0.01,0.01,0.869,0.916,1.014,160
"PS1[246,11,1]",0.138,0.29,0.01,0.01,0.01,0.01,0.853,1.013,270
"PS1[247,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[248,11,1]",0.855,0.059,0.789,0.839,0.862,0.879,0.905,1.086,3000
"PS1[249,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[250,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[252,11,1]",0.145,0.305,0.01,0.01,0.01,0.01,0.87,1.021,180
"PS1[253,11,1]",0.01,0.016,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[255,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[256,11,1]",0.909,0.027,0.843,0.895,0.91,0.926,0.959,1.149,20
"PS1[257,11,1]",0.876,0.108,0.821,0.871,0.891,0.906,0.934,1.275,73
"PS1[258,11,1]",0.233,0.387,0.01,0.01,0.01,0.01,0.931,1.819,6
"PS1[259,11,1]",0.698,0.34,0.01,0.823,0.859,0.881,0.907,1.038,84
"PS1[260,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[261,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[262,11,1]",0.775,0.275,0.01,0.847,0.87,0.889,0.92,1.152,31
"PS1[263,11,1]",0.01,0.013,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[264,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[265,11,1]",0.787,0.041,0.69,0.764,0.791,0.817,0.852,1.034,79
"PS1[266,11,1]",0.579,0.411,0.01,0.01,0.858,0.885,0.917,1.045,53
"PS1[268,11,1]",0.336,0.436,0.01,0.01,0.01,0.91,0.946,1.122,22
"PS1[269,11,1]",0.847,0.034,0.785,0.826,0.848,0.871,0.899,1.23,3000
"PS1[271,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[272,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[273,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[274,11,1]",0.016,0.072,0.01,0.01,0.01,0.01,0.01,1.125,520
"PS1[275,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[276,11,1]",0.736,0.297,0.01,0.819,0.853,0.875,0.911,1.438,11
"PS1[277,11,1]",0.73,0.179,0.01,0.732,0.776,0.808,0.85,1.358,20
"PS1[279,11,1]",0.908,0.021,0.861,0.894,0.908,0.923,0.946,1.21,14
"PS1[280,11,1]",0.857,0.034,0.772,0.839,0.86,0.88,0.912,1.02,140
"PS1[281,11,1]",0.031,0.127,0.01,0.01,0.01,0.01,0.735,1.007,2500
"PS1[282,11,1]",0.905,0.029,0.839,0.888,0.909,0.926,0.95,1.074,36
"PS1[284,11,1]",0.923,0.017,0.886,0.911,0.923,0.935,0.955,1.051,50
"PS1[285,11,1]",0.01,0.015,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[286,11,1]",0.028,0.125,0.01,0.01,0.01,0.01,0.01,1.287,57
"PS1[287,11,1]",0.011,0.027,0.01,0.01,0.01,0.01,0.01,1.135,3000
"PS1[288,11,1]",0.01,0.016,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[289,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[290,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[291,11,1]",0.38,0.41,0.01,0.01,0.01,0.83,0.892,1.002,1400
"PS1[292,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[293,11,1]",0.908,0.021,0.864,0.894,0.908,0.923,0.946,1.132,20
"PS1[295,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[296,11,1]",0.011,0.022,0.01,0.01,0.01,0.01,0.01,1.105,3000
"PS1[297,11,1]",0.896,0.023,0.851,0.881,0.895,0.912,0.939,1.063,52
"PS1[298,11,1]",0.895,0.028,0.834,0.878,0.899,0.916,0.942,1.031,76
"PS1[299,11,1]",0.92,0.019,0.88,0.909,0.921,0.933,0.956,1.079,30
"PS1[301,11,1]",0.909,0.024,0.857,0.894,0.911,0.926,0.95,1.11,24
"PS1[303,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[305,11,1]",0.021,0.094,0.01,0.01,0.01,0.01,0.01,1.228,110
"PS1[318,11,1]",0.039,0.149,0.01,0.01,0.01,0.01,0.79,1.099,130
"PS1[319,11,1]",0.011,0.029,0.01,0.01,0.01,0.01,0.01,1.027,3000
"PS1[320,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[321,11,1]",0.034,0.144,0.01,0.01,0.01,0.01,0.876,1.288,47
"PS1[324,11,1]",0.749,0.06,0.612,0.714,0.754,0.79,0.85,1.025,110
"PS1[326,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[327,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[329,11,1]",0.946,0.014,0.92,0.937,0.946,0.956,0.973,1.033,72
"PS1[330,11,1]",0.023,0.104,0.01,0.01,0.01,0.01,0.01,1.316,68
"PS1[331,11,1]",0.995,0.003,0.987,0.993,0.996,0.998,0.999,1.109,24
"PS1[332,11,1]",0.897,0.025,0.841,0.882,0.899,0.915,0.941,1.034,78
"PS1[334,11,1]",0.01,0.015,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[335,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[336,11,1]",0.679,0.332,0.01,0.792,0.833,0.86,0.903,1.97,5
"PS1[337,11,1]",0.496,0.395,0.01,0.01,0.785,0.825,0.87,1.08,30
"PS1[338,11,1]",0.941,0.015,0.908,0.931,0.942,0.952,0.969,1.062,42
"PS1[339,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[340,11,1]",0.882,0.03,0.817,0.863,0.883,0.901,0.937,1.052,45
"PS1[342,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[343,11,1]",0.859,0.029,0.798,0.84,0.862,0.881,0.91,1.013,190
"PS1[344,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[346,11,1]",0.091,0.257,0.01,0.01,0.01,0.01,0.917,1.016,360
"PS1[347,11,1]",0.881,0.037,0.822,0.869,0.885,0.899,0.924,1.128,670
"PS1[348,11,1]",0.299,0.409,0.01,0.01,0.01,0.86,0.913,195.125,3
"PS1[349,11,1]",0.884,0.026,0.83,0.867,0.884,0.902,0.932,1.106,27
"PS1[351,11,1]",0.88,0.034,0.813,0.862,0.883,0.901,0.928,1.232,3000
"PS1[352,11,1]",0.01,0.016,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[353,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
