"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[1,2,1]",0.842,0.032,0.768,0.824,0.845,0.865,0.892,1.022,95
"PS1[2,2,1]",0.904,0.023,0.85,0.892,0.906,0.919,0.939,1.095,29
"PS1[3,2,1]",0.892,0.022,0.844,0.878,0.894,0.908,0.933,1.032,70
"PS1[4,2,1]",0.909,0.02,0.865,0.896,0.909,0.923,0.944,1.064,50
"PS1[5,2,1]",0.844,0.038,0.761,0.821,0.848,0.871,0.906,1.016,210
"PS1[6,2,1]",0.887,0.024,0.842,0.872,0.888,0.902,0.935,1.082,30
"PS1[7,2,1]",0.876,0.025,0.817,0.863,0.878,0.893,0.919,1.027,81
"PS1[8,2,1]",0.85,0.034,0.773,0.83,0.853,0.873,0.909,1.015,940
"PS1[9,2,1]",0.885,0.025,0.83,0.869,0.887,0.902,0.93,1.036,80
"PS1[10,2,1]",0.84,0.038,0.759,0.815,0.845,0.868,0.902,1.005,940
"PS1[11,2,1]",0.834,0.034,0.76,0.814,0.837,0.857,0.897,1.098,25
"PS1[12,2,1]",0.874,0.026,0.82,0.857,0.876,0.892,0.92,1.028,130
"PS1[13,2,1]",0.824,0.036,0.733,0.807,0.827,0.846,0.886,1.01,1300
"PS1[14,2,1]",0.799,0.037,0.712,0.776,0.804,0.826,0.86,1.014,840
"PS1[15,2,1]",0.864,0.033,0.784,0.845,0.867,0.885,0.924,1.212,14
"PS1[16,2,1]",0.82,0.038,0.732,0.8,0.825,0.847,0.882,1.033,68
"PS1[17,2,1]",0.847,0.037,0.767,0.824,0.851,0.874,0.909,1.012,200
"PS1[18,2,1]",0.83,0.043,0.731,0.806,0.836,0.861,0.896,1.005,440
"PS1[19,2,1]",0.892,0.022,0.846,0.878,0.894,0.908,0.929,1.011,470
"PS1[20,2,1]",0.845,0.035,0.767,0.826,0.85,0.868,0.904,1.011,350
"PS1[21,2,1]",0.843,0.033,0.775,0.822,0.844,0.867,0.898,1.023,120
"PS1[22,2,1]",0.874,0.036,0.794,0.852,0.878,0.901,0.933,1.092,27
"PS1[23,2,1]",0.835,0.032,0.763,0.816,0.839,0.857,0.889,1.015,220
"PS1[24,2,1]",0.834,0.035,0.758,0.813,0.836,0.859,0.892,1.049,52
"PS1[25,2,1]",0.866,0.028,0.807,0.848,0.868,0.885,0.916,1.079,31
"PS1[26,2,1]",0.86,0.029,0.793,0.844,0.863,0.881,0.908,1.052,64
"PS1[27,2,1]",0.858,0.026,0.792,0.845,0.861,0.875,0.902,1.06,93
"PS1[28,2,1]",0.907,0.02,0.865,0.894,0.907,0.92,0.945,1.047,48
"PS1[29,2,1]",0.827,0.042,0.73,0.805,0.832,0.854,0.894,1.006,1400
"PS1[30,2,1]",0.885,0.024,0.831,0.871,0.885,0.901,0.93,1.024,120
"PS1[31,2,1]",0.872,0.029,0.805,0.858,0.874,0.892,0.919,1.088,32
"PS1[32,2,1]",0.856,0.032,0.783,0.838,0.858,0.879,0.912,1.197,15
"PS1[33,2,1]",0.811,0.042,0.721,0.786,0.816,0.841,0.879,1.02,110
"PS1[34,2,1]",0.868,0.03,0.8,0.851,0.871,0.887,0.921,1.1,29
"PS1[35,2,1]",0.881,0.022,0.832,0.87,0.882,0.895,0.922,1.064,46
"PS1[36,2,1]",0.833,0.042,0.737,0.81,0.84,0.863,0.9,1.213,15
"PS1[37,2,1]",0.867,0.023,0.821,0.852,0.867,0.881,0.909,1.008,280
"PS1[38,2,1]",0.856,0.027,0.799,0.838,0.859,0.875,0.902,1.013,320
"PS1[39,2,1]",0.831,0.04,0.739,0.808,0.837,0.859,0.896,1.02,140
"PS1[40,2,1]",0.868,0.034,0.787,0.85,0.875,0.892,0.919,1.685,6
"PS1[41,2,1]",0.868,0.032,0.796,0.85,0.871,0.891,0.921,1.004,690
"PS1[42,2,1]",0.877,0.027,0.812,0.863,0.88,0.896,0.92,1.027,530
"PS1[43,2,1]",0.838,0.032,0.768,0.823,0.843,0.857,0.887,1.067,92
"PS1[44,2,1]",0.894,0.023,0.847,0.88,0.896,0.911,0.934,1.02,140
"PS1[45,2,1]",0.851,0.035,0.767,0.832,0.856,0.875,0.904,1.086,30
"PS1[46,2,1]",0.873,0.029,0.808,0.856,0.876,0.894,0.92,1.048,59
"PS1[47,2,1]",0.889,0.023,0.84,0.874,0.891,0.905,0.929,1.026,86
"PS1[48,2,1]",0.891,0.023,0.843,0.876,0.892,0.906,0.931,1.033,69
"PS1[49,2,1]",0.894,0.021,0.849,0.88,0.895,0.909,0.933,1.008,280
"PS1[50,2,1]",0.861,0.027,0.789,0.849,0.866,0.878,0.905,1.082,36
"PS1[51,2,1]",0.893,0.021,0.847,0.881,0.895,0.907,0.933,1.145,19
"PS1[52,2,1]",0.857,0.031,0.781,0.841,0.863,0.879,0.904,1.012,920
"PS1[53,2,1]",0.858,0.027,0.798,0.841,0.861,0.876,0.903,1.054,48
"PS1[54,2,1]",0.936,0.015,0.905,0.926,0.937,0.947,0.963,1.068,35
"PS1[55,2,1]",0.863,0.029,0.799,0.846,0.865,0.885,0.914,1.133,20
"PS1[56,2,1]",0.942,0.016,0.91,0.932,0.944,0.954,0.969,1.143,20
"PS1[57,2,1]",0.865,0.025,0.809,0.85,0.868,0.883,0.912,1.146,20
"PS1[58,2,1]",0.836,0.037,0.753,0.814,0.84,0.86,0.903,1.03,86
"PS1[59,2,1]",0.774,0.054,0.635,0.747,0.784,0.812,0.849,1.036,120
"PS1[60,2,1]",0.872,0.03,0.814,0.853,0.873,0.893,0.927,1.034,150
"PS1[61,2,1]",0.928,0.02,0.889,0.914,0.929,0.943,0.963,1.073,35
"PS1[62,2,1]",0.846,0.034,0.777,0.825,0.846,0.87,0.902,1.136,22
"PS1[63,2,1]",0.894,0.028,0.83,0.878,0.897,0.914,0.939,1.025,83
"PS1[64,2,1]",0.892,0.022,0.848,0.877,0.894,0.908,0.931,1.001,3000
"PS1[65,2,1]",0.888,0.024,0.834,0.873,0.889,0.903,0.932,1.024,89
"PS1[66,2,1]",0.844,0.03,0.775,0.826,0.848,0.864,0.896,1.009,3000
"PS1[67,2,1]",0.864,0.034,0.781,0.846,0.867,0.888,0.918,1.075,43
"PS1[68,2,1]",0.898,0.021,0.854,0.886,0.899,0.912,0.936,1.017,250
"PS1[69,2,1]",0.841,0.041,0.742,0.823,0.846,0.868,0.906,1.136,20
"PS1[70,2,1]",0.852,0.035,0.771,0.83,0.856,0.877,0.908,1.135,20
"PS1[71,2,1]",0.824,0.043,0.726,0.799,0.829,0.855,0.89,1.133,21
"PS1[72,2,1]",0.854,0.025,0.798,0.839,0.855,0.871,0.9,1.033,95
"PS1[73,2,1]",0.841,0.033,0.769,0.82,0.844,0.865,0.893,1.028,100
"PS1[74,2,1]",0.865,0.029,0.8,0.848,0.867,0.886,0.916,1.029,110
"PS1[75,2,1]",0.856,0.033,0.78,0.837,0.86,0.88,0.911,1.035,130
"PS1[76,2,1]",0.926,0.017,0.89,0.916,0.927,0.938,0.956,1.047,48
"PS1[77,2,1]",0.905,0.023,0.851,0.892,0.908,0.921,0.941,1.391,10
"PS1[78,2,1]",0.838,0.042,0.733,0.817,0.845,0.866,0.902,1.153,30
"PS1[79,2,1]",0.903,0.022,0.857,0.89,0.905,0.918,0.939,1.013,280
"PS1[80,2,1]",0.825,0.041,0.724,0.803,0.83,0.854,0.887,1.067,50
"PS1[81,2,1]",0.855,0.031,0.782,0.838,0.857,0.876,0.907,1.029,81
"PS1[82,2,1]",0.9,0.021,0.852,0.888,0.902,0.914,0.937,1.029,87
"PS1[83,2,1]",0.855,0.029,0.79,0.837,0.857,0.875,0.904,1.023,380
"PS1[84,2,1]",0.932,0.017,0.897,0.922,0.933,0.945,0.962,1.006,3000
"PS1[85,2,1]",0.862,0.03,0.793,0.845,0.865,0.884,0.914,1.051,46
"PS1[86,2,1]",0.867,0.03,0.797,0.848,0.87,0.888,0.916,1.102,25
"PS1[87,2,1]",0.865,0.031,0.787,0.85,0.867,0.884,0.915,1.083,37
"PS1[88,2,1]",0.853,0.034,0.78,0.833,0.857,0.876,0.914,1.128,20
"PS1[89,2,1]",0.913,0.018,0.874,0.901,0.914,0.926,0.947,1.018,370
"PS1[90,2,1]",0.757,0.048,0.649,0.729,0.763,0.793,0.836,1.026,87
"PS1[91,2,1]",0.847,0.028,0.785,0.83,0.851,0.868,0.895,1.025,120
"PS1[92,2,1]",0.86,0.036,0.78,0.841,0.864,0.885,0.92,1.081,33
"PS1[93,2,1]",0.827,0.036,0.743,0.81,0.83,0.851,0.886,1.034,67
"PS1[94,2,1]",0.884,0.027,0.822,0.868,0.887,0.903,0.931,1.003,2000
"PS1[95,2,1]",0.903,0.019,0.864,0.891,0.904,0.916,0.939,1.096,26
"PS1[96,2,1]",0.88,0.025,0.825,0.865,0.88,0.896,0.925,1.026,130
"PS1[97,2,1]",0.816,0.036,0.73,0.796,0.819,0.84,0.875,1.007,310
"PS1[98,2,1]",0.864,0.028,0.8,0.848,0.865,0.883,0.913,1.011,610
"PS1[99,2,1]",0.816,0.038,0.738,0.793,0.82,0.843,0.882,1.097,27
"PS1[100,2,1]",0.84,0.035,0.759,0.817,0.845,0.865,0.892,1.119,24
"PS1[101,2,1]",0.861,0.027,0.803,0.846,0.861,0.878,0.91,1.003,3000
"PS1[102,2,1]",0.876,0.031,0.818,0.857,0.876,0.893,0.937,1.247,13
"PS1[103,2,1]",0.84,0.037,0.742,0.822,0.845,0.865,0.897,1.071,55
"PS1[104,2,1]",0.876,0.028,0.812,0.86,0.879,0.895,0.923,1.023,100
"PS1[105,2,1]",0.853,0.038,0.762,0.834,0.861,0.88,0.909,1.019,180
"PS1[106,2,1]",0.748,0.052,0.631,0.716,0.754,0.786,0.831,1.075,44
"PS1[107,2,1]",0.872,0.031,0.804,0.852,0.875,0.896,0.922,1.23,13
"PS1[108,2,1]",0.882,0.026,0.822,0.867,0.886,0.9,0.925,1.028,88
"PS1[109,2,1]",0.918,0.024,0.866,0.903,0.921,0.936,0.956,1.342,10
"PS1[110,2,1]",0.89,0.022,0.842,0.876,0.892,0.904,0.93,1.027,100
"PS1[111,2,1]",0.868,0.028,0.805,0.851,0.871,0.887,0.918,1.015,170
"PS1[112,2,1]",0.861,0.028,0.799,0.843,0.863,0.881,0.91,1.012,3000
"PS1[113,2,1]",0.833,0.042,0.733,0.806,0.837,0.865,0.896,1.144,20
"PS1[114,2,1]",0.829,0.035,0.748,0.809,0.833,0.853,0.889,1.033,130
"PS1[115,2,1]",0.893,0.027,0.83,0.878,0.895,0.911,0.938,1.128,21
"PS1[116,2,1]",0.832,0.033,0.758,0.811,0.834,0.854,0.892,1.035,96
"PS1[117,2,1]",0.928,0.018,0.888,0.918,0.93,0.941,0.957,1.166,17
"PS1[118,2,1]",0.891,0.023,0.84,0.878,0.892,0.906,0.935,1.024,94
"PS1[119,2,1]",0.876,0.028,0.822,0.859,0.873,0.894,0.932,1.062,38
"PS1[120,2,1]",0.868,0.028,0.809,0.851,0.871,0.888,0.92,1.011,300
"PS1[121,2,1]",0.862,0.03,0.797,0.844,0.864,0.881,0.914,1.023,120
"PS1[122,2,1]",0.892,0.021,0.847,0.879,0.892,0.905,0.931,1.015,140
"PS1[123,2,1]",0.857,0.03,0.789,0.839,0.858,0.877,0.908,1.031,110
"PS1[124,2,1]",0.857,0.037,0.771,0.835,0.861,0.884,0.915,1.042,91
"PS1[125,2,1]",0.916,0.019,0.876,0.904,0.917,0.929,0.949,1.114,22
"PS1[126,2,1]",0.89,0.022,0.839,0.877,0.891,0.905,0.931,1.067,37
"PS1[127,2,1]",0.842,0.037,0.755,0.822,0.847,0.869,0.906,1.032,100
"PS1[128,2,1]",0.872,0.028,0.811,0.856,0.872,0.89,0.927,1.198,14
"PS1[129,2,1]",0.848,0.044,0.733,0.831,0.857,0.876,0.91,1.056,67
"PS1[130,2,1]",0.862,0.026,0.801,0.847,0.865,0.88,0.906,1.049,47
"PS1[131,2,1]",0.872,0.027,0.816,0.854,0.874,0.891,0.92,1.002,2400
"PS1[132,2,1]",0.861,0.026,0.804,0.847,0.862,0.879,0.907,1.022,130
"PS1[133,2,1]",0.836,0.039,0.74,0.815,0.844,0.864,0.896,1.111,34
"PS1[134,2,1]",0.801,0.046,0.688,0.777,0.806,0.833,0.882,1.033,190
"PS1[135,2,1]",0.838,0.045,0.733,0.812,0.843,0.87,0.908,1.048,60
"PS1[136,2,1]",0.892,0.025,0.839,0.877,0.893,0.909,0.935,1.062,38
"PS1[137,2,1]",0.897,0.023,0.85,0.883,0.899,0.914,0.936,1.026,100
"PS1[138,2,1]",0.826,0.038,0.739,0.804,0.832,0.851,0.891,1.045,51
"PS1[139,2,1]",0.816,0.04,0.729,0.792,0.822,0.844,0.881,1.088,29
"PS1[140,2,1]",0.861,0.033,0.787,0.841,0.863,0.885,0.915,1.011,360
"PS1[141,2,1]",0.81,0.043,0.708,0.786,0.816,0.841,0.88,1.022,120
"PS1[142,2,1]",0.898,0.022,0.845,0.888,0.901,0.913,0.936,1.024,350
"PS1[143,2,1]",0.868,0.031,0.8,0.849,0.869,0.89,0.922,1.11,27
"PS1[144,2,1]",0.802,0.048,0.689,0.775,0.809,0.836,0.878,1.02,120
"PS1[145,2,1]",0.894,0.021,0.849,0.881,0.894,0.908,0.932,1.019,120
"PS1[146,2,1]",0.893,0.026,0.834,0.877,0.895,0.911,0.937,1.088,29
"PS1[147,2,1]",0.866,0.029,0.805,0.848,0.867,0.885,0.917,1.044,52
"PS1[148,2,1]",0.868,0.027,0.804,0.856,0.871,0.886,0.913,1.101,31
"PS1[149,2,1]",0.847,0.031,0.783,0.827,0.848,0.87,0.901,1.014,230
"PS1[150,2,1]",0.908,0.019,0.87,0.894,0.909,0.921,0.943,1.005,2900
"PS1[151,2,1]",0.884,0.025,0.833,0.866,0.885,0.903,0.926,1.262,12
"PS1[152,2,1]",0.867,0.029,0.802,0.851,0.869,0.886,0.918,1.032,90
"PS1[153,2,1]",0.881,0.023,0.833,0.867,0.882,0.898,0.921,1.03,92
"PS1[154,2,1]",0.847,0.038,0.755,0.825,0.853,0.875,0.906,1.01,3000
"PS1[155,2,1]",0.861,0.028,0.8,0.845,0.865,0.882,0.909,1.059,40
"PS1[156,2,1]",0.9,0.024,0.847,0.886,0.901,0.917,0.942,1.007,290
"PS1[157,2,1]",0.859,0.026,0.8,0.846,0.861,0.874,0.906,1.04,95
"PS1[158,2,1]",0.86,0.035,0.786,0.838,0.865,0.886,0.917,1.122,21
"PS1[159,2,1]",0.881,0.023,0.83,0.868,0.883,0.897,0.92,1.005,790
"PS1[160,2,1]",0.837,0.031,0.764,0.819,0.838,0.858,0.892,1.103,24
"PS1[161,2,1]",0.852,0.033,0.779,0.833,0.854,0.875,0.91,1.032,170
"PS1[162,2,1]",0.847,0.032,0.776,0.829,0.85,0.869,0.901,1.075,34
"PS1[163,2,1]",0.855,0.032,0.771,0.84,0.861,0.876,0.905,1.019,310
"PS1[164,2,1]",0.838,0.04,0.747,0.815,0.843,0.864,0.905,1.023,110
"PS1[165,2,1]",0.891,0.024,0.842,0.875,0.891,0.907,0.935,1.101,24
"PS1[166,2,1]",0.885,0.023,0.831,0.872,0.886,0.9,0.925,1.023,140
"PS1[167,2,1]",0.83,0.039,0.738,0.806,0.835,0.859,0.892,1.013,320
"PS1[168,2,1]",0.848,0.033,0.771,0.829,0.853,0.871,0.901,1.016,140
"PS1[169,2,1]",0.826,0.035,0.748,0.804,0.83,0.849,0.885,1.001,3000
"PS1[170,2,1]",0.859,0.028,0.794,0.844,0.862,0.878,0.905,1.054,79
"PS1[171,2,1]",0.812,0.047,0.701,0.786,0.818,0.844,0.881,1.107,28
"PS1[172,2,1]",0.869,0.033,0.796,0.849,0.874,0.892,0.926,1.296,11
"PS1[173,2,1]",0.84,0.038,0.759,0.817,0.842,0.866,0.909,1.064,37
"PS1[174,2,1]",0.906,0.022,0.853,0.894,0.907,0.919,0.946,1.064,62
"PS1[175,2,1]",0.86,0.029,0.795,0.843,0.862,0.88,0.911,1.021,180
"PS1[176,2,1]",0.794,0.05,0.67,0.77,0.8,0.828,0.876,1.088,29
"PS1[177,2,1]",0.879,0.027,0.82,0.864,0.882,0.898,0.923,1.017,230
"PS1[178,2,1]",0.839,0.033,0.767,0.818,0.843,0.863,0.896,1.046,49
"PS1[179,2,1]",0.85,0.031,0.777,0.832,0.852,0.872,0.905,1.015,210
"PS1[180,2,1]",0.866,0.026,0.812,0.85,0.868,0.884,0.913,1.061,38
"PS1[181,2,1]",0.86,0.025,0.802,0.847,0.861,0.875,0.909,1.057,43
"PS1[182,2,1]",0.859,0.031,0.79,0.839,0.861,0.88,0.914,1.072,34
"PS1[183,2,1]",0.913,0.019,0.872,0.9,0.914,0.926,0.947,1.021,130
"PS1[184,2,1]",0.846,0.036,0.764,0.824,0.85,0.872,0.908,1.005,2600
"PS1[185,2,1]",0.851,0.03,0.78,0.834,0.855,0.871,0.902,1.004,1200
"PS1[186,2,1]",0.835,0.033,0.753,0.815,0.84,0.859,0.889,1.003,770
"PS1[187,2,1]",0.862,0.028,0.801,0.843,0.863,0.882,0.911,1.005,940
"PS1[188,2,1]",0.809,0.036,0.735,0.787,0.81,0.832,0.877,1.029,420
"PS1[189,2,1]",0.823,0.042,0.722,0.802,0.831,0.852,0.887,1.109,25
"PS1[190,2,1]",0.858,0.034,0.774,0.841,0.863,0.88,0.909,1.158,24
"PS1[191,2,1]",0.844,0.04,0.742,0.821,0.848,0.874,0.904,1.027,86
"PS1[192,2,1]",0.859,0.031,0.789,0.839,0.861,0.881,0.913,1.063,40
"PS1[193,2,1]",0.834,0.038,0.752,0.808,0.839,0.862,0.897,1.051,46
"PS1[194,2,1]",0.849,0.035,0.773,0.829,0.852,0.874,0.908,1.018,170
"PS1[195,2,1]",0.842,0.035,0.762,0.82,0.844,0.865,0.902,1.032,110
"PS1[196,2,1]",0.821,0.046,0.702,0.799,0.828,0.852,0.889,1.021,120
"PS1[197,2,1]",0.893,0.029,0.814,0.881,0.897,0.911,0.933,1.107,100
"PS1[198,2,1]",0.891,0.024,0.842,0.875,0.893,0.909,0.934,1.015,290
"PS1[199,2,1]",0.828,0.038,0.747,0.806,0.831,0.855,0.889,1.059,58
"PS1[200,2,1]",0.828,0.039,0.739,0.806,0.834,0.856,0.889,1.032,67
"PS1[201,2,1]",0.909,0.019,0.864,0.898,0.911,0.923,0.945,1.039,58
"PS1[202,2,1]",0.897,0.024,0.844,0.883,0.898,0.913,0.94,1.044,52
"PS1[203,2,1]",0.836,0.035,0.758,0.815,0.838,0.862,0.895,1.028,110
"PS1[204,2,1]",0.864,0.025,0.807,0.851,0.868,0.881,0.906,1.011,460
"PS1[205,2,1]",0.855,0.032,0.787,0.835,0.861,0.878,0.908,1.059,41
"PS1[206,2,1]",0.858,0.029,0.793,0.842,0.86,0.878,0.908,1.015,400
"PS1[207,2,1]",0.852,0.035,0.779,0.828,0.853,0.878,0.909,1.167,17
"PS1[208,2,1]",0.825,0.037,0.739,0.803,0.832,0.852,0.879,1.084,29
"PS1[209,2,1]",0.871,0.029,0.807,0.854,0.874,0.891,0.925,1.03,120
"PS1[210,2,1]",0.888,0.021,0.841,0.876,0.89,0.902,0.922,1.072,36
"PS1[211,2,1]",0.816,0.04,0.732,0.791,0.817,0.846,0.886,1.049,51
"PS1[212,2,1]",0.814,0.05,0.691,0.789,0.821,0.848,0.892,1.066,74
"PS1[213,2,1]",0.843,0.04,0.751,0.823,0.85,0.871,0.904,1.035,260
"PS1[214,2,1]",0.863,0.029,0.802,0.844,0.866,0.884,0.913,1.053,50
"PS1[215,2,1]",0.863,0.03,0.799,0.844,0.864,0.884,0.917,1.008,3000
"PS1[216,2,1]",0.867,0.027,0.806,0.852,0.869,0.885,0.914,1.013,290
"PS1[217,2,1]",0.88,0.025,0.828,0.864,0.882,0.899,0.926,1.037,100
"PS1[218,2,1]",0.851,0.036,0.769,0.829,0.855,0.878,0.909,1.058,46
"PS1[219,2,1]",0.896,0.02,0.856,0.884,0.895,0.909,0.934,1.008,3000
"PS1[220,2,1]",0.85,0.034,0.777,0.832,0.854,0.873,0.905,1.054,52
"PS1[221,2,1]",0.879,0.025,0.825,0.864,0.882,0.896,0.922,1.182,15
"PS1[222,2,1]",0.861,0.03,0.792,0.844,0.863,0.882,0.915,1.033,71
"PS1[223,2,1]",0.838,0.032,0.771,0.818,0.841,0.861,0.892,1.006,730
"PS1[224,2,1]",0.918,0.017,0.884,0.906,0.919,0.93,0.953,1.027,88
"PS1[225,2,1]",0.876,0.027,0.811,0.86,0.879,0.895,0.922,1.064,40
"PS1[226,2,1]",0.889,0.021,0.844,0.876,0.89,0.904,0.928,1.064,39
"PS1[227,2,1]",0.851,0.029,0.789,0.833,0.852,0.871,0.901,1.107,23
"PS1[228,2,1]",0.836,0.039,0.747,0.813,0.84,0.863,0.902,1.059,47
"PS1[229,2,1]",0.849,0.033,0.77,0.83,0.853,0.874,0.902,1.023,160
"PS1[230,2,1]",0.867,0.026,0.812,0.852,0.868,0.884,0.917,1.023,98
"PS1[231,2,1]",0.832,0.032,0.758,0.814,0.835,0.855,0.885,1.007,680
"PS1[232,2,1]",0.884,0.022,0.835,0.87,0.886,0.9,0.923,1.052,55
"PS1[233,2,1]",0.919,0.019,0.876,0.907,0.919,0.932,0.951,1.041,59
"PS1[234,2,1]",0.817,0.041,0.726,0.795,0.823,0.845,0.882,1.014,160
"PS1[235,2,1]",0.8,0.046,0.68,0.778,0.806,0.83,0.871,1.053,91
"PS1[236,2,1]",0.847,0.035,0.769,0.826,0.851,0.871,0.906,1.022,180
"PS1[237,2,1]",0.862,0.025,0.809,0.847,0.863,0.878,0.908,1.017,580
"PS1[238,2,1]",0.816,0.043,0.718,0.792,0.82,0.844,0.889,1.014,280
"PS1[239,2,1]",0.837,0.037,0.751,0.817,0.841,0.863,0.896,1.007,940
"PS1[240,2,1]",0.832,0.035,0.751,0.812,0.835,0.856,0.89,1.058,160
"PS1[241,2,1]",0.889,0.021,0.84,0.877,0.891,0.903,0.922,1.008,280
"PS1[242,2,1]",0.812,0.047,0.694,0.79,0.82,0.844,0.88,1.042,61
"PS1[243,2,1]",0.896,0.022,0.85,0.883,0.897,0.911,0.936,1.008,290
"PS1[244,2,1]",0.848,0.038,0.761,0.828,0.853,0.874,0.908,1.109,26
"PS1[245,2,1]",0.862,0.029,0.802,0.842,0.865,0.884,0.908,1.011,2600
"PS1[246,2,1]",0.817,0.042,0.72,0.794,0.825,0.847,0.878,1.122,30
"PS1[247,2,1]",0.829,0.04,0.733,0.808,0.834,0.857,0.888,1.21,15
"PS1[248,2,1]",0.843,0.028,0.775,0.828,0.845,0.861,0.891,1.023,120
"PS1[249,2,1]",0.826,0.037,0.743,0.801,0.83,0.853,0.89,1.014,150
"PS1[250,2,1]",0.859,0.032,0.785,0.842,0.861,0.881,0.917,1.066,41
"PS1[251,2,1]",0.817,0.037,0.738,0.794,0.821,0.845,0.879,1.002,1200
"PS1[252,2,1]",0.837,0.035,0.753,0.819,0.841,0.861,0.892,1.008,340
"PS1[253,2,1]",0.861,0.038,0.778,0.838,0.862,0.888,0.925,1.25,12
"PS1[254,2,1]",0.821,0.035,0.75,0.796,0.824,0.846,0.882,1.018,440
"PS1[255,2,1]",0.841,0.037,0.756,0.818,0.846,0.867,0.899,1.054,71
"PS1[256,2,1]",0.857,0.026,0.801,0.842,0.858,0.875,0.903,1.053,45
"PS1[257,2,1]",0.87,0.025,0.816,0.855,0.872,0.886,0.915,1.026,1300
"PS1[258,2,1]",0.851,0.03,0.787,0.832,0.854,0.87,0.906,1.01,620
"PS1[259,2,1]",0.876,0.027,0.813,0.86,0.879,0.896,0.919,1.019,190
"PS1[260,2,1]",0.845,0.041,0.746,0.823,0.853,0.874,0.905,1.136,23
"PS1[261,2,1]",0.876,0.03,0.81,0.86,0.879,0.895,0.927,1.039,150
"PS1[262,2,1]",0.853,0.029,0.788,0.836,0.855,0.873,0.905,1.031,1200
"PS1[263,2,1]",0.801,0.043,0.696,0.779,0.807,0.831,0.868,1.048,510
"PS1[264,2,1]",0.865,0.039,0.77,0.841,0.868,0.892,0.931,1.08,46
"PS1[265,2,1]",0.804,0.038,0.72,0.786,0.81,0.829,0.865,1.023,150
"PS1[266,2,1]",0.863,0.028,0.806,0.846,0.865,0.883,0.913,1.017,120
"PS1[267,2,1]",0.872,0.03,0.811,0.852,0.875,0.893,0.923,1.046,49
"PS1[268,2,1]",0.91,0.019,0.871,0.898,0.911,0.924,0.946,1.054,44
"PS1[269,2,1]",0.839,0.032,0.77,0.821,0.842,0.861,0.894,1.037,66
"PS1[270,2,1]",0.887,0.025,0.834,0.872,0.89,0.904,0.931,1.055,57
"PS1[271,2,1]",0.825,0.038,0.731,0.805,0.83,0.85,0.888,1.132,22
"PS1[272,2,1]",0.837,0.034,0.761,0.819,0.841,0.86,0.894,1.074,36
"PS1[273,2,1]",0.854,0.028,0.79,0.839,0.858,0.873,0.899,1.029,320
"PS1[274,2,1]",0.902,0.022,0.852,0.891,0.903,0.916,0.941,1.062,110
"PS1[275,2,1]",0.817,0.04,0.737,0.791,0.822,0.847,0.883,1.03,78
"PS1[276,2,1]",0.865,0.028,0.799,0.851,0.867,0.883,0.912,1.057,45
"PS1[277,2,1]",0.821,0.039,0.732,0.798,0.825,0.85,0.886,1.026,150
"PS1[278,2,1]",0.873,0.028,0.814,0.855,0.874,0.892,0.919,1.035,80
"PS1[279,2,1]",0.907,0.02,0.866,0.893,0.907,0.92,0.946,1.009,280
"PS1[280,2,1]",0.851,0.031,0.778,0.834,0.853,0.873,0.902,1.046,1800
"PS1[281,2,1]",0.829,0.037,0.742,0.808,0.834,0.856,0.89,1.08,36
"PS1[282,2,1]",0.889,0.024,0.837,0.874,0.891,0.907,0.931,1.021,130
"PS1[283,2,1]",0.87,0.025,0.815,0.856,0.872,0.888,0.911,1.059,60
"PS1[284,2,1]",0.887,0.025,0.83,0.872,0.89,0.905,0.929,1.013,210
"PS1[285,2,1]",0.849,0.037,0.764,0.828,0.854,0.874,0.911,1.071,40
"PS1[286,2,1]",0.845,0.03,0.779,0.828,0.847,0.865,0.897,1.034,72
"PS1[287,2,1]",0.856,0.032,0.778,0.838,0.859,0.878,0.91,1.035,71
"PS1[288,2,1]",0.865,0.028,0.804,0.851,0.869,0.883,0.909,1.056,570
"PS1[289,2,1]",0.831,0.04,0.747,0.804,0.836,0.861,0.894,1.066,37
"PS1[290,2,1]",0.877,0.028,0.818,0.862,0.878,0.897,0.923,1.081,40
"PS1[291,2,1]",0.836,0.034,0.76,0.816,0.84,0.86,0.894,1.004,1300
"PS1[292,2,1]",0.857,0.031,0.796,0.837,0.859,0.879,0.913,1.021,99
"PS1[293,2,1]",0.887,0.024,0.839,0.871,0.888,0.904,0.929,1.041,55
"PS1[294,2,1]",0.88,0.028,0.814,0.865,0.884,0.899,0.925,1.029,79
"PS1[295,2,1]",0.817,0.042,0.729,0.792,0.822,0.845,0.887,1.057,40
"PS1[296,2,1]",0.85,0.037,0.768,0.827,0.851,0.876,0.913,1.077,42
"PS1[297,2,1]",0.853,0.03,0.792,0.832,0.855,0.876,0.904,1.007,290
"PS1[298,2,1]",0.876,0.026,0.822,0.86,0.879,0.895,0.916,1.027,80
"PS1[299,2,1]",0.891,0.023,0.839,0.877,0.893,0.907,0.93,1.103,24
"PS1[300,2,1]",0.84,0.04,0.748,0.817,0.844,0.868,0.908,1.067,36
"PS1[301,2,1]",0.872,0.028,0.809,0.856,0.874,0.891,0.921,1.125,21
"PS1[302,2,1]",0.861,0.033,0.784,0.842,0.868,0.883,0.913,1.03,93
"PS1[303,2,1]",0.882,0.022,0.833,0.868,0.881,0.898,0.922,1.043,57
